year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
2018,0.2,0.6,0.6,1.9,12.1,2.4,1.2,0.2,0.3,6.1,2.9,0,0.3,0.6,0.9,3.4,2.3,0.6,0.8,0.8,3.5,1.7,0.5,4.2,2.5,1.6,0,0.6,0.4,2.1,0.3,0.5,1,3.7,0.4,0.9,7.3,5.7,0.8,1.5,3.5,0.5,0.6,1,0.2,0.9,7.4,1.7,1.7,0,0.3,2.6,2.1,0.3,0.2
2019,0.2,0.6,0.6,2.1,12.1,2.5,1.3,0.2,0.3,6.5,2.9,0,0.2,0.7,0.9,3.4,2,0.7,0.9,0.7,3.1,1.7,0.5,4.1,2.8,1.6,0,0.6,0.4,2.2,0.2,0.5,0.9,3.6,0.5,0.9,6.6,5.5,0.9,1.7,3.4,0.7,0.4,1,0.2,0.9,7.2,1.5,1.7,0,0.4,2.9,2.1,0.3,0.2
2020,0.2,0.7,0.7,2.1,12.6,2.7,1,0.2,0.3,5.6,2.9,0,0.2,0.8,0.9,3.4,2.2,1,0.9,0.7,2.7,1.5,0.5,4,3.7,1.9,0,0.7,0.4,2.3,0.3,0.6,0.9,2.8,0.5,0.8,5,6.1,1.2,1.8,3,0.8,0.4,1,0.4,1,7.2,1.8,1.5,0,0.4,2.9,2.3,0.4,0.2
2021,0.2,0.7,0.6,2,11.2,2.8,1.2,0.2,0.3,6.2,3.4,0,0.2,0.7,0.8,3.3,2.3,0.9,0.9,0.7,2.1,1.3,0.5,4.1,3.8,2,0,0.7,0.5,2.1,0.3,0.7,0.8,2.9,0.5,1,4.7,6.3,1.1,1.5,3.1,0.8,0.3,1.1,0.3,1.1,7.9,1.7,1.5,0,0.3,2.8,2.6,0.4,0.2
2022,0.18,0.63,0.56,1.73,10.3,2.37,1.33,0.2,0.31,6.81,2.86,0.03,0.23,0.75,0.88,3.48,2.35,0.83,0.82,0.73,2.36,1.62,0.54,4.44,3.12,1.92,0,0.61,0.35,2.06,0.24,0.63,0.8,3.18,0.46,0.92,5.69,7.42,1.16,1.59,3.65,0.88,0.33,1.18,0.25,1.16,7.35,1.6,1.62,0.03,0.28,2.63,2.01,0.35,0.21
2023,0.19,0.71,0.53,1.95,10.65,2.51,1.3,0.22,0.34,8.06,2.94,0,0.26,0.52,0.79,3.41,2.08,0.73,0.77,0.75,2.49,1.63,0.6,4.35,2.72,1.57,0,0.57,0.27,2.27,0.16,0.51,0.69,3.92,0.37,1,7.14,6.38,0.8,1.33,3.55,0.8,0.35,1.19,0.23,1.15,7.14,1.57,1.7,0.03,0.27,2.47,1.68,0.27,0.11
